	GSM461182_untreat_single	GSM461178_untreat_paired	GSM461177_untreat_paired	GSM461176_untreat_single	GSM461181_treat_paired	GSM461180_treat_paired	GSM461179_treat_single
FBgn0040827	0.707921	0.475404	0.707059	1.225814	-1.028799	-1.172621	-0.914778
FBgn0001225	-0.795986	-0.567465	-0.782997	-0.926584	1.539049	0.884300	0.649684
FBgn0000567	0.446389	0.451695	1.331898	0.819816	-1.170528	-1.025348	-0.853922
FBgn0001224	-0.836151	-0.555871	-0.895338	-0.837907	1.435032	0.858828	0.831407
FBgn0036862	-1.439784	-0.845043	-0.310833	-0.283647	0.942814	0.599496	1.336996
FBgn0010223	1.064143	0.541870	0.487203	1.031887	-1.068326	-0.940825	-1.115952
FBgn0000116	-0.681612	-0.747348	-0.538201	-0.850070	1.215522	1.576859	0.024850
FBgn0001226	-0.971414	-0.572711	-0.825619	-0.795177	1.275929	0.978128	0.910865
FBgn0020248	-0.809038	-0.860263	-0.727335	-0.788535	1.279582	0.981379	0.924210
FBgn0036821	-0.629957	0.856097	1.223072	1.098240	-0.844400	-0.901568	-0.801485
FBgn0035932	-0.768188	-0.417959	-1.276261	-0.546831	0.742959	1.439189	0.827091
FBgn0016715	0.446978	0.915227	0.597473	1.163161	-1.072258	-1.009978	-1.040604
FBgn0035969	-0.903319	-0.182229	-1.020952	-0.921036	1.377289	0.797054	0.853192
FBgn0029167	0.797823	0.745049	0.949288	0.705041	-1.101931	-1.027356	-1.067914
FBgn0035968	-0.821112	-0.580972	-0.861844	-0.876504	1.310327	0.708158	1.121948
FBgn0087007	-1.392992	-0.529270	-0.597209	-0.531379	1.035815	1.144133	0.870902
FBgn0036560	-0.656076	-0.762254	-0.855378	-0.564460	1.307657	0.038259	1.492252
FBgn0262870	0.062052	1.261483	0.883471	0.762799	-1.251107	-0.869367	-0.849330
FBgn0035147	0.789739	1.272742	0.821944	0.067101	-0.790642	-0.839067	-1.321816
FBgn0264475	1.264280	0.704015	0.471871	0.672157	-1.019608	-1.079317	-1.013399
FBgn0259935	-1.149604	-0.825793	-0.451837	-0.690106	0.813118	1.161868	1.142355
FBgn0267635	-0.403279	-0.757410	-0.866510	-0.659999	0.212356	0.541096	1.933747
FBgn0262733	-0.904243	-0.858095	-0.709480	-0.658071	0.761319	0.934357	1.434214
FBgn0015371	0.484054	0.307337	1.231250	1.022963	-1.116125	-0.993228	-0.936252
FBgn0035076	-1.114336	-0.004633	-1.074515	-0.683911	1.399560	0.945255	0.532581
FBgn0283437	-1.102413	-0.637214	-0.676726	-0.696753	0.839085	1.406799	0.867222
FBgn0050359	-1.196515	-0.350020	-0.569850	-0.715804	1.336555	1.341069	0.154565
FBgn0033446	0.878191	-0.082844	0.990427	1.160108	-0.945945	-1.014718	-0.985219
FBgn0033775	-0.688227	-0.750102	-0.921968	-0.817357	0.942266	0.945573	1.289815
FBgn0034736	0.515242	0.723956	1.107547	0.810995	-1.050895	-1.019783	-1.087061
FBgn0265512	-0.571735	0.818141	1.058520	1.280432	-0.915509	-0.910556	-0.759293
FBgn0034389	0.241003	0.465903	1.153296	1.157010	-0.966470	-1.123476	-0.927266
FBgn0033458	-1.147204	-0.645293	-1.173060	0.115456	0.982310	0.643319	1.224471
FBgn0034139	-0.698209	-0.532223	-0.982584	-0.826812	1.574845	0.616452	0.848530
FBgn0003748	-0.646499	-0.908501	-0.906903	-0.728949	0.986330	1.105426	1.099096
FBgn0264753	0.531395	1.024180	0.975753	0.624741	-1.019567	-1.115375	-1.021127
FBgn0034718	-1.303268	-0.478660	-0.637936	-0.653197	1.193934	1.094020	0.785105
FBgn0033913	1.063579	0.563261	0.833258	0.700567	-0.976828	-0.974321	-1.209516
FBgn0261584	1.688339	0.350294	0.342550	0.458439	-1.033057	-0.892089	-0.914477
FBgn0011260	-0.803636	-0.797134	-0.795528	-0.749507	0.774006	0.948920	1.422879
FBgn0033426	0.363035	1.223786	0.624461	0.866845	-0.812541	-1.168268	-1.097319
FBgn0261989	0.114541	-1.068151	-0.658206	-1.072458	0.443797	0.593118	1.647358
FBgn0034804	1.714502	0.730069	0.257721	-0.001893	-0.786836	-1.031230	-0.882334
